"Date","Price","Open","High","Low","Vol.","Change %"
"04/10/2014","1,833.10","1,872.30","1,872.50","1,830.90","","-2.09%"
"04/09/2014","1,872.20","1,852.60","1,872.40","1,852.40","","1.09%"
"04/08/2014","1,852.00","1,845.50","1,855.00","1,837.50","","0.38%"
"04/07/2014","1,845.00","1,863.90","1,864.00","1,841.50","","-1.08%"
"04/04/2014","1,865.10","1,890.20","1,897.30","1,863.30","","-1.25%"
"04/03/2014","1,888.80","1,891.40","1,893.80","1,882.70","","-0.11%"
"04/02/2014","1,890.90","1,886.60","1,893.20","1,883.80","","0.29%"
"04/01/2014","1,885.50","1,874.00","1,885.80","1,874.00","","0.71%"
"03/31/2014","1,872.30","1,859.20","1,875.20","1,859.20","","0.79%"
"03/28/2014","1,857.60","1,850.10","1,866.60","1,850.10","","0.47%"
"03/27/2014","1,849.00","1,852.10","1,855.50","1,842.10","","-0.19%"
"03/26/2014","1,852.60","1,867.10","1,875.90","1,852.60","","-0.70%"
"03/25/2014","1,865.60","1,859.50","1,871.90","1,856.00","","0.44%"
"03/24/2014","1,857.40","1,867.70","1,873.30","1,849.70","","-0.49%"
"03/21/2014","1,866.50","1,874.50","1,884.00","1,863.50","","-0.29%"
"03/20/2014","1,872.00","1,860.10","1,873.50","1,854.60","","0.60%"
"03/19/2014","1,860.80","1,872.20","1,874.10","1,850.30","","-0.61%"
"03/18/2014","1,872.20","1,858.90","1,873.80","1,858.90","","0.72%"
"03/17/2014","1,858.80","1,842.80","1,862.30","1,842.80","","0.96%"
"03/14/2014","1,841.10","1,845.10","1,852.40","1,839.60","","-0.28%"
"03/13/2014","1,846.30","1,869.10","1,874.40","1,841.90","","-1.17%"
"03/12/2014","1,868.20","1,866.20","1,868.40","1,854.40","","0.03%"
"03/11/2014","1,867.60","1,878.30","1,882.30","1,863.90","","-0.51%"
"03/10/2014","1,877.20","1,877.90","1,877.90","1,867.00","","-0.04%"
"03/07/2014","1,878.00","1,878.50","1,883.60","1,870.60","","0.05%"
"03/06/2014","1,877.00","1,874.20","1,881.90","1,874.20","","0.17%"
"03/05/2014","1,873.80","1,874.00","1,876.50","1,871.10","","-0.01%"
"03/04/2014","1,873.90","1,849.20","1,876.20","1,849.20","","1.53%"
"03/03/2014","1,845.70","1,857.70","1,857.70","1,834.40","","-0.74%"
"02/28/2014","1,859.50","1,855.10","1,867.90","1,847.70","","0.28%"
"02/27/2014","1,854.30","1,844.90","1,854.50","1,841.10","","0.49%"
